Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2017,10d8eff2,Miquel Nelom,nl NED,DF,fb4ca611,nl Feyenoord,1990
2017,8778c910,Manuel Neuer,de GER,GK,054efa67,de Bayern Munich,1986
2017,69384e5d,Neymar,br BRA,FW,e2d8892c,fr Paris S-G,1992
2017,f40dd3c7,Bart Nieuwkoop,nl NED,DF,fb4ca611,nl Feyenoord,1996
2017,c14bc029,Saúl Ñíguez,es ESP,MF,db3b9613,es Atlético Madrid,1994
2017,cf961d8d,Dimitris Nikolaou,gr GRE,DF,2fdb4aef,gr Olympiacos,1998
2017,b2d0ec1b,Nolito,es ESP,FW,ad2be733,es Sevilla,1986
2017,6554bb97,Olivier Ntcham,cm CMR,MF,b81aa4fa,sct Celtic,1996
2017,c7526c18,Steven Nzonzi,fr FRA,MF,ad2be733,es Sevilla,1988
2017,af45e954,Dimitri Oberlin,ch SUI,FW,d3d9424a,ch Basel,1997
2017,ee8508c0,Jan Oblak,si SVN,GK,db3b9613,es Atlético Madrid,1993
2017,f6ddac8f,Ivan Obradović,rs SRB,DF,08ad393c,be Anderlecht,1988
2017,518918ad,Vadis Odjidja-Ofoe,be BEL,"MF,FW",2fdb4aef,gr Olympiacos,1989
2017,d18f2675,Mattheus Oliveira,br BRA,FW,13dc44fd,pt Sporting CP,1994
2017,947e036f,Sérgio Oliveira,pt POR,MF,5e876ee6,pt Porto,1992
2017,e90dc1d5,Henry Onyekuru,ng NGA,"FW,MF",08ad393c,be Anderlecht,1997
2017,20030c06,Willi Orban,hu HUN,DF,acbb6a5b,de RB Leipzig,1992
2017,86c75897,Ivan Ordets,ua UKR,DF,e89d5a28,ua Shakhtar,1992
2017,0d267745,Nicolás Otamendi,ar ARG,DF,b8fd03ef,eng Manchester City,1988
2017,28b1f3ce,Otávio,pt POR,MF,5e876ee6,pt Porto,1995
2017,ed90babd,Adam Ounas,dz ALG,"FW,MF",d48ad4ff,it Napoli,1996
2017,38c7feef,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",822bd0ba,eng Liverpool,1993
2017,d8c679be,Oğuzhan Özyakup,tr TUR,MF,0f9294bd,tr Beşiktaş,1992
2017,962e54cb,Gonçalo Paciência,pt POR,FW,5e876ee6,pt Porto,1994
2017,a78ff07f,João Palhinha,pt POR,MF,13dc44fd,pt Sporting CP,1995
2017,b682dcf6,Sokratis Papastathopoulos,gr GRE,DF,add600ae,de Dortmund,1988
2017,5f956fcf,Felipe Pardo,co COL,"MF,FW",2fdb4aef,gr Olympiacos,1990
2017,a92669f6,Nicolás Pareja,ar ARG,DF,ad2be733,es Sevilla,1984
2017,529f49ab,Thomas Partey,gh GHA,"MF,DF",db3b9613,es Atlético Madrid,1993
2017,e599253a,Mario Pašalić,hr CRO,MF,8c635914,ru Spartak Moscow,1995
2017,881ef58c,Javier Pastore,ar ARG,"MF,FW",e2d8892c,fr Paris S-G,1989
2017,79b0d6a0,Rui Patrício,pt POR,GK,13dc44fd,pt Sporting CP,1988
2017,00672021,Alan Patrick,br BRA,MF,e89d5a28,ua Shakhtar,1991
2017,bb7337cc,Paulinho,br BRA,MF,206d90db,es Barcelona,1988
2017,3ca7254a,Pedro,es ESP,"MF,FW",cff3d9bb,eng Chelsea,1987
2017,157c5e0b,Mustafa Pektemek,tr TUR,"FW,MF",0f9294bd,tr Beşiktaş,1988
2017,4a5a45c7,Lorenzo Pellegrini,it ITA,"MF,FW",cf74a709,it Roma,1996
2017,c906ce0f,Pepe,pt POR,DF,0f9294bd,tr Beşiktaş,1983
2017,8fd9996f,Danilo Pereira,pt POR,MF,5e876ee6,pt Porto,1991
2017,6e592fa4,Maxi Pereira,uy URU,"DF,MF",5e876ee6,pt Porto,1984
2017,75a72a99,Ricardo Pereira,pt POR,"DF,FW",5e876ee6,pt Porto,1993
2017,852351df,Bruno Peres,br BRA,DF,cf74a709,it Roma,1990
2017,d7ffd345,Nauzet Pérez,es ESP,GK,eab315a6,cy APOEL FC,1985
2017,a40d5a0c,Diego Perotti,ar ARG,FW,cf74a709,it Roma,1988
2017,70d31829,Marko Petković,rs SRB,DF,8c635914,ru Spartak Moscow,1992
2017,90f3beec,Raoul Petretta,it ITA,MF,d3d9424a,ch Basel,1997
2017,7214c684,Radosav Petrović,rs SRB,"MF,DF",13dc44fd,pt Sporting CP,1989
2017,6db16dda,Ivan Petryak,ua UKR,FW,e89d5a28,ua Shakhtar,1994
2017,061e8e23,Maximilian Philipp,de GER,"FW,MF",add600ae,de Dortmund,1994
2017,32c0491f,Cristiano Piccini,it ITA,DF,13dc44fd,pt Sporting CP,1992
2017,f864af2c,Aleks Pihler,si SVN,MF,2aae7689,si NK Maribor,1994
2017,adfc9123,Gerard Piqué,es ESP,DF,206d90db,es Barcelona,1987
2017,fe2db476,Łukasz Piszczek,pl POL,DF,add600ae,de Dortmund,1985
2017,faec2ec4,Guido Pizarro,ar ARG,MF,ad2be733,es Sevilla,1990
2017,96094cbc,Pizzi,pt POR,MF,a77c513e,pt Benfica,1989
2017,ad6df2d5,Miralem Pjanić,ba BIH,MF,e0652b02,it Juventus,1990
2017,867239d3,Paul Pogba,fr FRA,MF,19538871,eng Manchester Utd,1993
2017,78150923,Ivelin Popov,bg BUL,MF,8c635914,ru Spartak Moscow,1987
2017,27b89843,Mickaël Poté,bj BEN,FW,eab315a6,cy APOEL FC,1984
2017,d2416c2e,Yussuf Poulsen,dk DEN,FW,acbb6a5b,de RB Leipzig,1994
2017,b182a240,Quincy Promes,nl NED,"FW,MF",8c635914,ru Spartak Moscow,1992
2017,c8a88acd,Silvio Proto,be BEL,GK,2fdb4aef,gr Olympiacos,1983
2017,1bf33a9a,Christian Pulisic,us USA,"FW,MF",add600ae,de Dortmund,1998
2017,34c3b935,Andriy Pyatov,ua UKR,GK,e89d5a28,ua Shakhtar,1984
2017,6b6d252d,Ricardo Quaresma,pt POR,FW,0f9294bd,tr Beşiktaş,1983
2017,3e975352,Dani Quintana,es ESP,"FW,MF",44b65410,az Qarabağ,1987
2017,8794e251,Adrien Rabiot,fr FRA,MF,e2d8892c,fr Paris S-G,1995
2017,d003e213,Rafinha,br BRA,DF,054efa67,de Bayern Munich,1985
2017,bd4f5f94,Andrea Raggi,it ITA,DF,fd6114db,fr Monaco,1984
2017,27c8e860,Aleksander Rajčević,si SVN,DF,2aae7689,si NK Maribor,1986
2017,89f951b5,Ivan Rakitić,hr CRO,MF,206d90db,es Barcelona,1988
2017,47fd5136,Yaroslav Rakitskiy,ua UKR,DF,e89d5a28,ua Shakhtar,1989
2017,56208b05,Anthony Ralston,sct SCO,DF,b81aa4fa,sct Celtic,1998
2017,bbcc9c00,Aghabala Ramazanov,az AZE,MF,44b65410,az Qarabağ,1993
2017,833fb62e,Sandro Ramírez,es ESP,FW,ad2be733,es Sevilla,1995
2017,08511d65,Sergio Ramos,es ESP,DF,53a2f082,es Real Madrid,1986
2017,a1d5bd30,Marcus Rashford,eng ENG,"FW,MF",19538871,eng Manchester Utd,1997
2017,50310821,Artyom Rebrov,ru RUS,GK,8c635914,ru Spartak Moscow,1984
2017,e358587b,Pepe Reina,es ESP,GK,d48ad4ff,it Napoli,1982
2017,d4f46475,Diego Reyes,mx MEX,DF,5e876ee6,pt Porto,1992
2017,f61c7c4e,Franck Ribéry,fr FRA,"MF,FW",054efa67,de Bayern Munich,1983
2017,5f0241b2,Sergio Rico,es ESP,GK,ad2be733,es Sevilla,1993
2017,7e56d3db,Stefan Ristovski,mk MKD,DF,13dc44fd,pt Sporting CP,1992
2017,87d8b5a3,Blas Riveros,py PAR,"DF,MF",d3d9424a,ch Basel,1998
2017,09586899,Arjen Robben,nl NED,"FW,MF",054efa67,de Bayern Munich,1984
2017,335fa267,Sergi Roberto,es ESP,"MF,DF",206d90db,es Barcelona,1992
2017,59d93937,Patrick Roberts,eng ENG,FW,b81aa4fa,sct Celtic,1997
2017,2e4f5f03,Andrew Robertson,sct SCO,DF,822bd0ba,eng Liverpool,1994
2017,b33e0095,Pedro Rocha Neves,br BRA,MF,8c635914,ru Spartak Moscow,1994
2017,715bf047,James Rodríguez,co COL,"MF,FW",054efa67,de Bayern Munich,1991
2017,b6b2b820,Marko Rog,hr CRO,"MF,FW",d48ad4ff,it Napoli,1995
2017,27ff9bdb,Tom Rogić,au AUS,"MF,FW",b81aa4fa,sct Celtic,1992
